Date,Open,High,Low,Close,Adj Close,Volume,3MA,5MA
2000-03-23,6480,6580,6200,6200,4659.554688,64950000,4444.112956,4301.820996
2000-03-24,6320,7120,6180,6800,5110.478516,90260000,4579.390463,4422.067481
2000-03-27,6960,7040,6700,6800,5110.478516,67730000,4809.862631,4620.474414
2000-03-28,6900,7260,6820,7030,5283.333008,74425000,4960.170573,4791.825684
2000-03-29,7030,7680,6980,7660,5756.803223,78090000,5168.09668,4964.679883
2000-03-30,7520,7560,7050,7050,5298.365234,74645000,5383.538249,5184.12959
2000-03-31,6800,7070,6650,6700,5035.326172,63855000,5446.167155,5311.891699
2000-04-03,6920,7320,6860,7100,5335.941895,56805000,5363.49821,5296.861231
2000-04-04,7000,7290,6660,6800,5110.478516,58340000,5223.2111,5341.953906
2000-04-05,6800,6800,6800,6800,5110.478516,0,5160.582194,5307.383008
2000-04-06,6860,6960,6680,6680,5020.293457,47235000,5185.632976,5178.118067
2000-04-07,6860,7260,6780,7200,5411.095215,42355000,5080.41683,5122.503711
2000-04-10,7500,7500,7200,7300,5486.249512,35885000,5180.622396,5197.65752
2000-04-11,7200,7200,6950,7100,5335.941895,29075000,5305.879395,5227.719043
2000-04-12,6960,7030,6860,6910,5193.148926,35250000,5411.095541,5272.811719
2000-04-13,6910,6910,6910,6910,5193.148926,0,5338.446778,5289.345801
2000-04-14,6600,6680,6260,6260,4704.646484,62365000,5240.746582,5323.916895
2000-04-17,5420,5750,5340,5520,4148.506836,78050000,5030.314779,5182.627149
2000-04-18,6200,6240,5860,6040,4539.307617,73730000,4682.100749,4915.078613
2000-04-19,6300,6460,5860,6000,4509.24707,60615000,4464.153646,4755.751758
2000-04-20,5960,6160,5920,6020,4524.277344,37335000,4399.020508,4618.971387
2000-04-21,6060,6180,5970,6050,4546.822266,26425000,4524.277344,4485.19707
2000-04-24,5970,6030,5760,5800,4358.938477,27830000,4526.782227,4453.632227
2000-04-25,5620,5760,5520,5640,4238.694336,34900000,4476.679362,4495.718555
2000-04-26,5820,5860,5600,5600,4208.630371,39290000,4381.485026,4435.595899
2000-04-27,5520,5700,5400,5400,4058.322266,54110000,4268.754395,4375.472559
2000-04-28,5500,6100,5460,6000,4509.24707,75530000,4168.548991,4282.281543
2000-05-01,6000,6000,6000,6000,4509.24707,0,4258.733236,4274.766504
2000-05-02,6200,6530,6120,6280,4719.678223,72335000,4358.938802,4304.828223
2000-05-03,6240,6260,6090,6180,4644.524902,26585000,4579.390788,4401.025
2000-05-04,6220,6360,6140,6180,4644.524902,26100000,4624.483398,4488.203906
2000-05-05,6180,6180,6180,6180,4644.524902,0,4669.576009,4605.444433
2000-05-08,6400,6700,6300,6560,4930.111816,52695000,4644.524902,4632.5
2000-05-09,6560,6560,6560,6560,4930.111816,0,4739.72054,4716.672949
2000-05-10,6320,6390,6270,6350,4772.287109,27620000,4834.916178,4758.759668
2000-05-11,6350,6350,6350,6350,4772.287109,0,4877.50358,4784.312109
2000-05-12,6420,6440,6160,6160,4629.493164,47170000,4824.895345,4809.86455
2000-05-15,6290,6530,6220,6440,4839.924805,47120000,4724.689127,4806.858203
2000-05-16,6510,6800,6510,6800,5110.478516,39620000,4747.235026,4788.820801
2000-05-17,7000,7340,6920,6920,5200.663086,76235000,4859.965495,4824.894141
2000-05-18,6740,7000,6680,6800,5110.478516,36580000,5050.355469,4910.569336
2000-05-19,6740,6900,6600,6900,5185.634277,41450000,5140.540039,4978.207617
2000-05-22,6720,6830,6620,6670,5012.780273,36385000,5165.59196,5089.43584
2000-05-23,6500,6700,6350,6380,4794.832031,41290000,5102.964355,5124.006934
2000-05-24,6160,6370,5920,6200,4659.554688,72150000,4997.74886,5060.877637
2000-05-25,6330,6380,5930,6000,4509.24707,85965000,4822.388997,4952.655957
2000-05-26,5900,5990,5600,5600,4208.630371,67100000,4654.544596,4832.409668
2000-05-29,5260,5680,5240,5460,4103.414063,67130000,4459.144043,4637.008887
2000-05-30,5460,5460,5460,5460,4103.414063,0,4273.763835,4455.135645
2000-05-31,6000,6290,5960,6160,4629.493164,83935000,4138.486166,4316.852051
2000-06-01,6200,6410,6120,6300,4734.709473,50230000,4278.773763,4310.839746
2000-06-02,6690,6900,6510,6620,4975.202148,84385000,4489.205567,4355.932227
2000-06-05,6920,6980,6680,6740,5065.385742,48010000,4779.801595,4509.246582
2000-06-06,6740,6740,6740,6740,5065.385742,0,4925.099121,4701.640918
2000-06-07,6600,6980,6510,6800,5110.478516,53365000,5035.324544,4894.035254
2000-06-08,6660,6960,6530,6530,4907.562012,58550000,5080.416667,4990.232324
2000-06-09,6600,7040,6530,7020,5275.818359,63860000,5027.808757,5024.802832
2000-06-12,7200,7280,7030,7190,5403.582031,49515000,5097.952962,5084.926074
2000-06-13,7060,7100,6870,7060,5305.879883,42495000,5195.654134,5152.565332
2000-06-14,7230,7640,7090,7640,5741.773926,63020000,5328.426758,5200.66416
2000-06-15,7560,7560,7000,7000,5260.787598,61225000,5483.74528,5326.923242
2000-06-16,6900,6960,6710,6740,5065.385742,66455000,5436.147136,5397.568359
2000-06-19,6600,6950,6550,6700,5035.326172,53560000,5355.982422,5355.481836
2000-06-20,6940,7180,6830,7140,5366.003418,59790000,5120.499837,5281.830664
2000-06-21,7300,7380,7070,7080,5320.90918,37585000,5155.571777,5293.855371
2000-06-22,7240,7270,6960,7040,5290.849121,33635000,5240.746257,5209.682422
2000-06-23,6980,7010,6860,7000,5260.787598,29215000,5325.920573,5215.694727
2000-06-26,7100,7360,6990,7210,5418.610352,39980000,5290.848633,5254.775098
2000-06-27,7320,7440,7190,7310,5493.766113,45535000,5323.41569,5331.431934
2000-06-28,7220,7540,7220,7520,5651.587891,47295000,5391.054688,5356.984473
2000-06-29,7600,7740,7380,7490,5629.041992,61120000,5521.321452,5423.120215
2000-06-30,7440,7540,7290,7380,5546.373535,35250000,5591.465332,5490.758789
2000-07-03,7440,7550,7420,7500,5636.558105,25975000,5609.001139,5547.875977
2000-07-04,7600,7620,7350,7350,5523.82666,32810000,5603.991211,5591.465527
